iter	Passed	Remaining
0	0	83
1	0	120
2	0	104
3	0	91
4	0	81
5	1	104
6	1	96
7	1	89
8	1	84
9	1	82
10	1	78
11	2	84
12	2	81
13	2	78
14	2	75
15	2	73
16	2	71
17	2	69
18	2	67
19	3	85
20	3	89
21	4	87
22	4	85
23	4	83
24	4	82
25	5	95
26	5	94
27	5	92
28	5	90
29	5	88
30	5	86
31	5	85
32	5	83
33	6	82
34	6	81
35	6	79
36	6	78
37	6	77
38	6	76
39	6	75
40	6	73
41	6	72
42	6	72
43	6	71
44	6	70
45	7	69
46	7	68
47	7	67
48	7	67
49	7	66
50	7	65
51	7	64
52	7	64
53	7	63
54	7	62
55	7	62
56	7	61
57	8	61
58	8	60
59	8	61
60	8	60
61	8	60
62	8	60
63	8	60
64	8	60
65	9	59
66	9	59
67	9	58
68	9	58
69	9	57
70	9	57
71	9	56
72	9	56
73	9	56
74	9	55
75	9	55
76	10	54
77	10	54
78	10	54
79	10	53
80	10	53
81	10	53
82	10	52
83	10	52
84	10	52
85	10	52
86	10	51
87	10	51
88	11	51
89	11	50
90	11	50
91	11	50
92	11	49
93	11	49
94	11	49
95	11	49
96	11	48
97	11	48
98	11	48
99	12	48
100	12	47
101	12	47
102	12	47
103	12	47
104	12	46
105	12	46
106	12	46
107	12	46
108	12	45
109	12	45
110	12	45
111	13	45
112	13	45
113	13	44
114	13	44
115	13	44
116	13	44
117	13	43
118	13	43
119	13	43
120	13	43
121	13	43
122	14	43
123	14	42
124	14	42
125	14	42
126	14	42
127	14	42
128	14	41
129	14	41
130	14	41
131	14	41
132	15	42
133	15	42
134	15	41
135	15	41
136	16	44
137	17	44
138	17	44
139	17	44
140	17	44
141	17	44
142	17	44
143	17	44
144	17	43
145	18	43
146	18	43
147	18	43
148	18	43
149	18	43
150	18	42
151	18	42
152	18	42
153	18	42
154	19	42
155	19	42
156	19	42
157	19	41
158	19	41
159	19	41
160	20	42
161	20	42
162	20	41
163	20	41
164	20	41
165	20	41
166	20	41
167	20	41
168	20	40
169	20	40
170	21	40
171	21	40
172	21	40
173	21	39
174	21	39
175	21	39
176	21	39
177	21	39
178	21	38
179	21	38
180	21	38
181	21	38
182	22	38
183	22	38
184	22	37
185	22	37
186	22	37
187	22	37
188	22	37
189	22	36
190	22	36
191	22	36
192	22	36
193	22	36
194	23	36
195	23	35
196	23	35
197	23	35
198	23	35
199	23	35
200	23	35
201	23	35
202	23	34
203	23	34
204	24	34
205	24	34
206	24	34
207	24	34
208	24	34
209	24	33
210	24	33
211	24	33
212	24	33
213	24	33
214	24	33
215	25	32
216	25	32
217	25	32
218	25	32
219	25	32
220	25	32
221	25	32
222	25	32
223	25	32
224	26	31
225	26	31
226	26	31
227	26	31
228	26	31
229	26	31
230	26	31
231	26	30
232	26	30
233	26	30
234	26	30
235	27	30
236	27	30
237	27	29
238	27	29
239	27	29
240	27	29
241	27	29
242	27	29
243	28	30
244	28	30
245	29	29
246	29	29
247	29	29
248	29	29
249	29	29
250	29	29
251	29	29
252	29	28
253	29	28
254	29	28
255	29	28
256	29	28
257	30	28
258	30	28
259	30	27
260	30	27
261	30	27
262	30	27
263	30	27
264	30	27
265	30	27
266	30	27
267	31	26
268	31	26
269	31	26
270	31	26
271	31	26
272	31	26
273	31	26
274	31	25
275	32	25
276	32	25
277	32	25
278	32	25
279	32	25
280	32	25
281	32	25
282	32	25
283	32	24
284	32	24
285	33	24
286	33	24
287	33	24
288	33	24
289	33	24
290	33	24
291	33	23
292	33	23
293	33	23
294	33	23
295	33	23
296	34	23
297	34	23
298	34	22
299	34	23
300	34	22
301	34	22
302	34	22
303	34	22
304	35	22
305	35	22
306	35	22
307	35	22
308	35	21
309	35	21
310	35	21
311	35	21
312	35	21
313	35	21
314	35	21
315	36	20
316	36	20
317	36	20
318	36	20
319	36	20
320	36	20
321	36	20
322	36	20
323	36	19
324	36	19
325	36	19
326	37	19
327	37	19
328	37	19
329	37	19
330	37	19
331	37	19
332	37	18
333	37	18
334	37	18
335	37	18
336	38	18
337	38	18
338	38	18
339	38	18
340	38	18
341	38	17
342	38	17
343	39	17
344	39	17
345	39	17
346	39	17
347	39	17
348	39	17
349	39	16
350	39	16
351	41	17
352	41	17
353	41	17
354	42	17
355	42	17
356	42	17
357	42	16
358	42	16
359	42	16
360	43	16
361	43	16
362	43	16
363	43	16
364	43	16
365	43	15
366	43	15
367	43	15
368	43	15
369	43	15
370	43	15
371	43	15
372	44	14
373	44	14
374	44	14
375	44	14
376	44	14
377	44	14
378	44	14
379	44	14
380	44	13
381	44	13
382	45	13
383	45	13
