iter	Passed	Remaining
0	0	403
1	1	269
2	1	212
3	1	195
4	1	167
5	1	149
6	1	139
7	2	131
8	2	123
9	2	116
10	2	111
11	3	131
12	3	126
13	3	121
14	3	118
15	3	114
16	3	111
17	4	108
18	4	106
19	4	103
20	4	101
21	4	100
22	4	98
23	4	96
24	5	95
25	5	94
26	5	93
27	5	92
28	5	90
29	5	89
30	5	88
31	5	87
32	6	86
33	7	106
34	7	105
35	8	104
36	8	103
37	8	102
38	8	100
39	8	99
40	8	98
41	8	97
42	9	95
43	9	94
44	9	93
45	9	92
46	9	91
47	9	90
48	9	89
49	9	88
50	9	87
51	10	86
52	10	86
53	10	85
54	10	84
55	10	83
56	10	83
57	10	82
58	10	81
59	11	81
60	11	80
61	11	80
62	11	79
63	11	78
64	11	77
65	11	77
66	11	76
67	11	75
68	11	74
69	12	74
70	12	73
71	12	73
72	12	72
73	12	72
74	12	71
75	12	71
76	12	70
77	12	70
78	13	69
79	13	68
80	13	68
81	13	68
82	13	67
83	13	67
84	13	67
85	13	67
86	14	66
87	14	66
88	14	66
89	14	66
90	14	65
91	14	65
92	14	65
93	15	64
94	15	64
95	16	68
96	16	69
97	16	69
98	17	69
99	17	71
100	17	70
101	18	70
102	18	70
103	18	69
104	18	69
105	18	68
106	18	68
107	18	68
108	18	68
109	19	67
110	19	67
111	19	66
112	19	66
113	19	66
114	19	65
115	19	65
116	19	64
117	19	64
118	20	64
119	20	63
120	20	63
121	20	63
122	20	62
123	20	62
124	20	62
125	20	61
126	20	61
127	21	61
128	21	60
129	21	60
130	21	60
131	21	59
132	21	59
133	21	59
134	21	59
135	21	58
136	22	58
137	22	58
138	22	57
139	22	57
140	22	57
141	22	57
142	22	56
143	22	56
144	23	56
145	23	56
146	23	55
147	23	55
148	23	55
149	23	54
150	23	54
151	23	54
152	23	54
153	23	53
154	24	53
155	24	53
156	24	52
157	24	52
158	24	52
159	24	52
160	24	51
161	24	51
162	24	51
163	24	51
164	25	50
165	25	50
166	25	50
167	25	50
168	25	50
169	25	49
170	25	49
171	25	49
172	25	49
173	26	48
174	26	48
